scenario,method,rep,effort,saved-effort
acotsp,PEMW.9,16,90860.41870431905,0.2416582060590388
acotsp,PD.2,16,81737.96446166036,0.31779629142308163
acotsp,AD.4,16,89017.59703369145,0.2570388163571794
acotsp,PD.4,16,66004.902448368,0.4491080181516465
acotsp,AD.6,16,81239.22504205705,0.3219588844593503
acotsp,PEMW.5,16,31133.99673013686,0.7401485567690687
acotsp,PD.6,16,66606.75047616952,0.4440848571361983
acotsp,PEBB,16,26557.94339046478,0.7783413424535518
acotsp,AEBB,7,56829.366551780695,0.526762676274911
acotsp,AEWW,7,90768.50412573824,0.24414001813912345
acotsp,AD.8,7,70938.69944105146,0.4092694972865266
acotsp,PEMB.5,7,25662.61982197761,0.7862986997530317
acotsp,PEMB.9,7,64379.99112548825,0.4638860759795609
acotsp,---,7,120086.40000000036,0.0
acotsp,PEWW,7,55238.46019897458,0.5400106906446158
acotsp,PEMB.7,7,37419.67931327818,0.6883936955951875
acotsp,AD.2,7,99958.14232263576,0.16761479799015155
acotsp,PEMW.7,7,68736.67796216009,0.4276064736543033
acotsp,PD.8,7,52969.88206887242,0.5589019067198928
acotsp,PEMW.9,7,93333.5591027262,0.22277993925435424
acotsp,PD.2,7,77132.15357251166,0.3576945135126757
acotsp,AD.4,7,95507.15561132436,0.2046796672119068
acotsp,PD.4,7,73374.13800363537,0.3889887780495115
acotsp,AD.6,7,81457.41799764635,0.3216765762180721
acotsp,PEMW.5,7,42875.96622018812,0.6429573522048461
acotsp,PD.6,7,68793.84445767397,0.4271304289438789
acotsp,PEBB,7,27566.524985408774,0.7704442386031333
acotsp,AEBB,1,64206.77799835201,0.4647775977356993
acotsp,AEWW,1,92623.78014326107,0.2278958131749105
acotsp,AD.8,1,71775.94242215155,0.4016816677990896
acotsp,PEMB.5,1,27478.654502344107,0.7709402039436889
acotsp,PEMB.9,1,69346.76096186633,0.4219311239662116
acotsp,---,1,119962.8000000003,0.0
acotsp,PEWW,1,50572.80022220607,0.5784293112347666
acotsp,PEMB.7,1,36413.723039913166,0.6964582100458385
acotsp,AD.2,1,101002.78679580695,0.15804910525757387
acotsp,PEMW.7,1,60625.10451889032,0.4946341322569149
acotsp,PD.8,1,54846.01765456193,0.5428081233969047
acotsp,PEMW.9,1,93180.31458287252,0.2232565880183499
acotsp,PD.2,1,81463.21423587803,0.3209293694722212
acotsp,AD.4,1,93809.0517303468,0.21801548704809687
acotsp,PD.4,1,79266.61287474628,0.3392400571281591
acotsp,AD.6,1,86010.99680795669,0.2830194292901093
acotsp,PEMW.5,1,40185.86400170324,0.6650139543116438
acotsp,PD.6,1,71076.52961645117,0.4075119152232943
acotsp,PEBB,1,28722.62439913749,0.7605705735516559
acotsp,AEBB,5,54701.664815521224,0.5436233963437502
acotsp,AEWW,5,93616.66183471693,0.21895513933899516
acotsp,AD.8,5,66949.90996136662,0.4414361495888033
acotsp,PEMB.5,5,29003.065909481036,0.7580270955184604
acotsp,PEMB.9,5,65463.26491479871,0.4538392459019257
acotsp,---,5,119860.80000000045,0.0
acotsp,PEWW,5,42912.77537894245,0.6419782332593951
acotsp,PEMB.7,5,34122.56975932121,0.7153150174258717
acotsp,AD.2,5,103017.33569188144,0.14052521181336142
acotsp,PEMW.7,5,60313.11168236725,0.4968070321375544
acotsp,PD.8,5,51665.42973256107,0.5689547397267425
acotsp,PEMW.9,5,88651.48205518739,0.2603796899804853
acotsp,PD.2,5,82743.61872482307,0.309669060069491
acotsp,AD.4,5,91774.03973927512,0.2343281561671975
acotsp,PD.4,5,76651.65207867617,0.3604944061888801
acotsp,AD.6,5,85546.46344037063,0.28628489514194544
acotsp,PEMW.5,5,38407.83962335585,0.6795629628422661
acotsp,PD.6,5,63360.98099741929,0.4713786242256096
acotsp,PEBB,5,27126.725051736827,0.7736814283590905
acotsp,AEBB,17,56215.03860926626,0.5306824938865949
acotsp,AEWW,17,90000.44390306485,0.2486212777460705
acotsp,AD.8,17,65010.14333844183,0.4572555832302978
acotsp,PEMB.5,17,25332.108099174497,0.7885120762731264
acotsp,PEMB.9,17,59467.368634891514,0.5035300547093571
acotsp,---,17,119780.40000000036,0.0
acotsp,PEWW,17,52236.03153972623,0.5639016772382954
acotsp,PEMB.7,17,31999.49284887313,0.7328486726636994
acotsp,AD.2,17,99585.98740329752,0.16859530104009313
acotsp,PEMW.7,17,60405.7967521667,0.4956954831327453
acotsp,PD.8,17,51844.38120174404,0.5671714136724884
acotsp,PEMW.9,17,93434.29720010773,0.2199533713353149
acotsp,PD.2,17,70106.20453805917,0.4147105491544613
acotsp,AD.4,17,93427.48707361237,0.22001022643427395
acotsp,PD.4,17,79354.62186045645,0.3374991078635886
acotsp,AD.6,17,85863.60177183156,0.28315816467609645
acotsp,PEMW.5,17,34999.08968515395,0.7078062046448848
acotsp,PD.6,17,66725.65744857783,0.4429334227588351
acotsp,PEBB,17,27318.829995155327,0.7719257074182817
acotsp,AEBB,20,60531.02612257003,-0.1711617410712296
acotsp,AEWW,20,90486.93025975238,-0.7507522600494625
acotsp,AD.8,20,61281.44772377013,-0.18568099054206044
acotsp,PEMB.5,20,28042.171585941305,0.4574366138861222
acotsp,PEMB.9,20,59589.909648895235,-0.15295290374493153
acotsp,---,20,51684.59999999996,0.0
acotsp,PEWW,20,42268.2194099903,0.1821892902336415
acotsp,PEMB.7,20,30623.51380496025,0.4074924870278521
acotsp,AD.2,20,98945.19416685133,-0.9144037908168274
acotsp,PEMW.7,20,65387.399913787776,-0.2651234587050655
acotsp,PD.8,20,51583.85788469311,0.001949170842124204
acotsp,PEMW.9,20,92621.74657630928,-0.7920569488069821
acotsp,PD.2,20,77599.23955302237,-0.5013996345724341
acotsp,AD.4,20,94391.51682872784,-0.8262986814008022
acotsp,PD.4,20,75862.98746533389,-0.4678064155538391
acotsp,AD.6,20,87672.80275745396,-0.6963041748887293
acotsp,PEMW.5,20,42928.62411961553,0.16941169865655215
acotsp,PD.6,20,67448.86900281902,-0.30500901627987953
acotsp,PEBB,20,28246.46842951774,0.453483853420211
acotsp,AEBB,12,49305.19026727675,0.5852705781100038
acotsp,AEWW,12,81353.26230115893,0.3156989911178294
acotsp,AD.8,12,65471.277574062326,0.4492899236064533
acotsp,PEMB.5,12,25576.838218927376,0.7848610405758893
acotsp,PEMB.9,12,53307.86627349853,0.5516021651685967
acotsp,---,12,118885.20000000045,0.0
acotsp,PEWW,12,34723.71444702146,0.7079223112126545
acotsp,PEMB.7,12,28841.585431146617,0.757399697934255
acotsp,AD.2,12,101601.5017899992,0.14538141173166366
acotsp,PEMW.7,12,47321.8552218437,0.6019533531352639
acotsp,PD.8,12,56613.413604688605,0.5237976333076918
acotsp,PEMW.9,12,79531.81553387642,0.3310200467856711
acotsp,PD.2,12,79937.54740428926,0.32760724291763
acotsp,AD.4,12,58199.42815017695,0.5104569101101168
acotsp,PD.4,12,78288.46427788734,0.34147846596643605
acotsp,AD.6,12,82790.16356024741,0.30361253074186606
acotsp,PEMW.5,12,39422.07009882926,0.6684022056670711
acotsp,PD.6,12,69911.44249825474,0.4119415831553929
acotsp,PEBB,12,27261.9996219635,0.7706863459710427
acotsp,AEBB,13,48989.772505140296,0.5885528945455909
acotsp,AEWW,13,85053.68864574435,0.28566530906343435
acotsp,AD.8,13,63038.90362434384,0.47055940248478895
acotsp,PEMB.5,13,25458.618500900262,0.7861824140954238
acotsp,PEMB.9,13,46310.744265604015,0.6110530687293384
acotsp,---,13,119067.0000000004,0.0
acotsp,PEWW,13,50914.40694589613,0.5723885967909164
acotsp,PEMB.7,13,31579.138069725028,0.7347784182878134
acotsp,AD.2,13,91853.29673938756,0.2285578981633261
